Model,Color,Memory,Storage,Rating,Selling Price,Original Price
iPhone SE ,Red,2 GB,64 GB,4.5,32999,39900
iPhone 13 Pro ,Gold,6 GB,128 GB,0,119900,
iPhone 11 ,Green,4GB,64 GB,4.6,49900,
iPhone SE ,Black,2 GB,128 GB,4.5,44900,
iPhone 12 Pro Max ,Graphite,,256 GB,4.6,129900,
iPhone 12 Pro Max ,Graphite,,128 GB,4.6,119900,
iPhone 11 ,White,4GB,256 GB,4.6,64900,
iPhone 11 ,Purple,4GB,256 GB,4.6,64900,
iPhone 11 ,Black,4GB,256 GB,4.6,64900,
iPhone 13 Pro ,Silver,6 GB,128 GB,0,119900,
iPhone SE ,Red,2 GB,128 GB,4.5,44900,
iPhone 11 ,Yellow,4GB,256 GB,4.6,64900,
iPhone 12 ,Purple,4GB,128 GB,4.6,68999,84900
iPhone 11 ,Purple,4GB,128 GB,4.6,54900,
iPhone 13 Pro Max ,Graphite,6 GB,128 GB,0,129900,
iPhone 13 Pro Max ,Gold,6 GB,512 GB,0,159900,
iPhone 13 ,Pink,4GB,512 GB,0,109900,
iPhone 13 Pro Max ,Silver,6 GB,512 GB,0,159900,
iPhone 11 Pro Max ,Silver,4GB,512 GB,4.7,150800,
iPhone 13 Pro Max ,Sierra Blue,6 GB,512 GB,0,159900,
iPhone 13 Pro ,Gold,6 GB,512 GB,0,149900,
iPhone 13 Pro ,Gold,6 GB,1 TB,0,169900,
iPhone 13 Mini ,Midnight,6 GB,512 GB,0,99900,
iPhone 13 Mini ,Red,6 GB,512 GB,0,99900
